t_rel_s,sim_joint6_deg,real_joint6_deg
2.7160,28.3804,28.3808
2.7200,28.3809,28.3808
2.7240,28.3805,28.3808
2.7280,28.3808,28.3808
2.7320,28.3806,28.3808
2.7360,28.3809,28.3808
2.7400,28.3805,28.3808
2.7440,28.3809,28.3808
2.7480,28.3805,28.3808
2.7520,28.3808,28.3808
2.7560,28.3806,28.3808
2.7600,28.3810,28.3808
2.7640,28.3805,28.3808
2.7680,28.3809,28.3808
2.7720,28.3805,28.3808
2.7760,28.3808,28.3808
2.7800,28.3805,28.3808
2.7840,28.3809,28.3808
2.7880,28.3805,28.3808
2.7920,28.3810,28.3809
2.7960,28.3805,28.3809
2.8000,28.3811,28.3809
2.8040,28.3806,28.3809
2.8080,28.3810,28.3809
2.8120,28.3805,28.3809
2.8160,28.3810,28.3809
2.8200,28.3805,28.3809
2.8240,28.3810,28.3809
2.8280,28.3807,28.3809
2.8320,28.3810,28.3809
2.8360,28.3807,28.3809
2.8400,28.3811,28.3809
2.8440,28.3807,28.3809
2.8480,28.3810,28.3809
2.8520,28.3806,28.3809
2.8560,28.3810,28.3809
2.8600,28.3807,28.3809
2.8640,28.3810,28.3809
2.8680,28.3807,28.3809
2.8720,28.3811,28.3809
2.8760,28.3807,28.3809
2.8800,28.3811,28.3809
2.8840,28.3807,28.3809
2.8880,28.3810,28.3809
2.8920,28.3807,28.3809
2.8960,28.3811,28.3809
2.9000,28.3807,28.3809
2.9040,28.3810,28.3809
2.9080,28.3806,28.3809
2.9120,28.3810,28.3809
2.9160,28.3807,28.3809
2.9200,28.3811,28.3809
2.9240,28.3807,28.3809
2.9280,28.3810,28.3809
2.9320,28.3807,28.3809
2.9360,28.3810,28.3809
2.9400,28.3806,28.3809
2.9440,28.3811,28.3809
2.9480,28.3807,28.3809
2.9520,28.3811,28.3809
2.9560,28.3807,28.3809
2.9600,28.3810,28.3809
2.9640,28.3807,28.3809
2.9680,28.3812,28.3809
2.9720,28.3807,28.3809
2.9760,28.3811,28.3809
2.9800,28.3806,28.3809
2.9840,28.3810,28.3809
2.9880,28.3806,28.3809
2.9920,28.3811,28.3809
2.9960,28.3807,28.3809
3.0000,28.3811,28.3809
3.0040,28.3806,28.3809
3.0080,28.3810,28.3809
3.0120,28.3807,28.3809
3.0160,28.3810,28.3809
3.0200,28.3807,28.3809
3.0240,28.3810,28.3809
3.0280,28.3807,28.3809
3.0320,28.3811,28.3809
3.0360,28.3807,28.3809
3.0400,28.3810,28.3809
3.0440,28.3807,28.3809
3.0480,28.3811,28.3809
3.0520,28.3807,28.3809
3.0560,28.3810,28.3809
3.0600,28.3807,28.3809
3.0640,28.3810,28.3809
3.0680,28.3807,28.3808
3.0720,28.3811,28.3808
3.0760,28.3808,28.3808
3.0800,28.3810,28.3808
3.0840,28.3807,28.3808
3.0880,28.3810,28.3808
3.0920,28.3805,28.3808
3.0960,28.3811,28.3808
3.1000,28.3806,28.3808
3.1040,28.3810,28.3808
3.1080,28.3806,28.3808
3.1120,28.3810,28.3808
3.1160,28.3807,28.3808
3.1200,28.3810,28.3808
3.1240,28.3807,28.3808
3.1280,28.3811,28.3808
3.1320,28.3807,28.3808
3.1360,28.3810,28.3808
3.1400,28.3807,28.3808
3.1440,28.3810,28.3808
3.1480,28.3806,28.3808
3.1520,28.3810,28.3808
3.1560,28.3807,28.3808
3.1600,28.3810,28.3808
3.1640,28.3807,28.3808
3.1680,28.3810,28.3808
3.1720,28.3806,28.3808
3.1760,28.3810,28.3808
3.1800,28.3806,28.3808
3.1840,28.3810,28.3808
3.1880,28.3807,28.3807
3.1920,28.3810,28.3807
3.1960,28.3806,28.3807
3.2000,28.3810,28.3807
3.2040,28.3807,28.3807
3.2080,28.3809,28.3807
3.2120,28.3805,28.3807
3.2160,28.3809,28.3807
3.2200,28.3806,28.3807
3.2240,28.3811,28.3807
3.2280,28.3807,28.3807
3.2320,28.3809,28.3807
3.2360,28.3806,28.3807
3.2400,28.3809,28.3807
3.2440,28.3806,28.3807
3.2480,28.3810,28.3807
3.2520,28.3806,28.3807
3.2560,28.3809,28.3807
3.2600,28.3805,28.3807
3.2640,28.3810,28.3807
3.2680,28.3806,28.3807
3.2720,28.3809,28.3807
3.2760,28.3806,28.3807
3.2800,28.3809,28.3807
3.2840,28.3805,28.3807
3.2880,28.3809,28.3807
3.2920,28.3806,28.3807
3.2960,28.3810,28.3807
3.3000,28.3805,28.3807
3.3040,28.3809,28.3807
3.3080,28.3806,28.3807
3.3120,28.3809,28.3807
3.3160,28.3806,28.3807
3.3200,28.3809,28.3807
3.3240,28.3805,28.3807
3.3280,28.3810,28.3807
3.3320,28.3806,28.3807
3.3360,28.3807,28.3807
3.3400,28.3809,28.3807
3.3440,28.3806,28.3807
3.3480,28.3809,28.3807
3.3520,28.3806,28.3807
3.3560,28.3804,28.3807
3.3600,28.3810,28.3807
3.3640,28.3805,28.3807
3.3680,28.3809,28.3807
3.3720,28.3806,28.3807
3.3760,28.3806,28.3807
3.3800,28.3809,28.3807
3.3840,28.3804,28.3807
3.3880,28.3809,28.3807
3.3920,28.3807,28.3807
3.3960,28.3804,28.3807
3.4000,28.3811,28.3807
3.4040,28.3806,28.3807
3.4080,28.3809,28.3807
3.4120,28.3805,28.3807
3.4160,28.3809,28.3807
3.4200,28.3806,28.3807
3.4240,28.3809,28.3807
3.4280,28.3805,28.3807
3.4320,28.3809,28.3807
3.4360,28.3806,28.3807
3.4400,28.3809,28.3807
3.4440,28.3805,28.3807
3.4480,28.3809,28.3807
3.4520,28.3806,28.3807
3.4560,28.3809,28.3807
3.4600,28.3805,28.3807
3.4640,28.3809,28.3807
3.4680,28.3805,28.3807
3.4720,28.3809,28.3807
3.4760,28.3806,28.3807
3.4800,28.3809,28.3807
3.4840,28.3806,28.3807
3.4880,28.3808,28.3807
3.4920,28.3805,28.3807
3.4960,28.3807,28.3807
3.5000,28.3810,28.3807
3.5040,28.3804,28.3807
3.5080,28.3809,28.3807
3.5120,28.3805,28.3807
3.5160,28.3809,28.3807
3.5200,28.3804,28.3807
3.5240,28.3809,28.3807
3.5280,28.3806,28.3807
3.5320,28.3808,28.3807
3.5360,28.3804,28.3807
3.5400,28.3809,28.3807
3.5440,28.3805,28.3807
3.5480,28.3807,28.3807
3.5520,28.3811,28.3807
3.5560,28.3804,28.3807
3.5600,28.3810,28.3807
3.5640,28.3806,28.3807
3.5680,28.3808,28.3807
3.5720,28.3806,28.3807
3.5760,28.3809,28.3807
3.5800,28.3805,28.3807
3.5840,28.3807,28.3807
3.5880,28.3810,28.3807
3.5920,28.3803,28.3807
3.5960,28.3809,28.3807
3.6000,28.3805,28.3807
3.6040,28.3810,28.3807
3.6080,28.3806,28.3807
3.6120,28.3807,28.3807
3.6160,28.3809,28.3807
3.6200,28.3805,28.3807
3.6240,28.3807,28.3807
3.6280,28.3809,28.3807
3.6320,28.3804,28.3807
3.6360,28.3810,28.3807
3.6400,28.3806,28.3807
3.6440,28.3808,28.3807
3.6480,28.3806,28.3807
3.6520,28.3807,28.3807
3.6560,28.3810,28.3807
3.6600,28.3803,28.3807
3.6640,28.3808,28.3807
3.6680,28.3805,28.3807
3.6720,28.3809,28.3807
3.6760,28.3806,28.3807
3.6800,28.3809,28.3807
3.6840,28.3806,28.3807
3.6880,28.3807,28.3807
3.6920,28.3809,28.3807
